url,title,year,location,date,sale_number,artist,title,medium,size,signage,provenance,condition,price,url,auctionUrl
https://www.deutscherandhackett.com/auction/lot/yemaya-2020,"YEMAYA, 2020",2025,Melbourne,26 March,81,DJERRKŊU YUNUPIŊU,"YEMAYA, 2020",natural earth pigments and recycled printer toner on eucalyptus bark,171.0 x 79.0 cm (irregular),"bears inscription verso: artist's name, Buku-Larrŋgay Mulka Centre cat. 1980-20 and Alcaston Gallery cat. AK22265","Buku-Larrŋgay Mulka Centre, Yirrkala, Northern TerritoryAlcaston Gallery, MelbournePrivate collection, Sydney",Not specified,"$58,909 (",https://www.deutscherandhackett.com/auction/lot/yemaya-2020,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/queen-and-me-2017,"THE QUEEN AND ME, 2017",2025,Melbourne,26 March,81,VINCENT NAMATJIRA,"THE QUEEN AND ME, 2017",synthetic polymer paint on canvas,91.0 x 122.0 cm,"bears inscription verso: artist’s name, size and Iwantja Arts cat. 215 –17","Iwantja Arts, APY Lands, South AustraliaTHIS IS NO FANTASY + Dianne Tanzer Gallery, MelbournePrivate collection, Melbourne, acquired from the above",Not specified,"$36,818 (",https://www.deutscherandhackett.com/auction/lot/queen-and-me-2017,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/my-friend-tiger-2017,"MY FRIEND TIGER, 2017",2025,Melbourne,26 March,81,VINCENT NAMATJIRA,"MY FRIEND TIGER, 2017",synthetic polymer paint on canvas,122.0 x 91.0 cm,"bears inscription verso: artist’s name, size and Iwantja Arts cat. 372–17","Iwantja Arts, APY Lands, South AustraliaTHIS IS NO FANTASY + Dianne Tanzer Gallery, MelbournePrivate collection, Perth, acquired from the above",Not specified,"$30,682 (",https://www.deutscherandhackett.com/auction/lot/my-friend-tiger-2017,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/my-country-2009,"MY COUNTRY, 2009",2025,Melbourne,26 March,81,MIRDIDINGKINGATHI JUWARNDA SALLY GABORI,"MY COUNTRY, 2009",synthetic polymer paint on linen,198.0 x 101.0 cm,"bears inscription verso: artist’s name, title, medium and Mornington Island Arts and Crafts cat. 4897-L-SG-1009","Mornington Island Arts and Crafts, Mornington Island, QueenslandPrivate collection, Victoria, acquired from the above in 2012This painting is accompanied by a copy of the certificate of authenticity from Mornington Island Arts and Crafts which states:'This is the little river I was born next to on Bentinck Island.'",Not specified,"$61,364 (",https://www.deutscherandhackett.com/auction/lot/my-country-2009,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/nyinyilki-country-2010,"NYINYILKI COUNTRY, 2010",2025,Melbourne,26 March,81,MIRDIDINGKINGATHI JUWARNDA SALLY GABORI,"NYINYILKI COUNTRY, 2010",synthetic polymer paint on linen,151.0 x 196.0 cm,"bears inscription verso: artist’s name, title, medium, Mornington Island Arts and Crafts cat. 6195-L-SG-1010 and Alcaston Gallery cat. AK16558","Mornington Island Arts and Crafts, Mornington Island, Queensland (stamped verso)Alcaston Gallery, Melbourne (stamped verso)Private collection, Sydney, acquired from the above in 2023This work is accompanied by a certificate of authenticity from Alcaston Gallery.",Not specified,"$110,455 (",https://www.deutscherandhackett.com/auction/lot/nyinyilki-country-2010,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/body-marks-1998-0,"BODY MARKS, 1998",2025,Melbourne,26 March,81,PRINCE OF WALES (MIDPUL),"BODY MARKS, 1998",synthetic polymer paint on canvas,102.0 x 102.0 cm,"bears inscription verso: artist's name, title, date, size and Karen Brown Gallery cat. PW313","Commissioned by Karen Brown Gallery, DarwinPrivate collection, Adelaide, acquired from the above in July 1999",Not specified,"$17,182 (",https://www.deutscherandhackett.com/auction/lot/body-marks-1998-0,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/body-marks-2002-1,"BODY MARKS, 2002",2025,Melbourne,26 March,81,PRINCE OF WALES (MIDPUL),"BODY MARKS, 2002",synthetic polymer paint on canvas,120.0 x 135.0 cm,No signage found,"Commissioned by Karen Brown Gallery, Darwin (cat. KB1125)Private collection, Adelaide, acquired from the above",Not specified,"$36,818 (",https://www.deutscherandhackett.com/auction/lot/body-marks-2002-1,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/ngak-ngak-and-limmen-bight-country-1994,"NGAK NGAK AND LIMMEN BIGHT COUNTRY, 1994",2025,Melbourne,26 March,81,GINGER RILEY MUNDUWALAWALA,"NGAK NGAK AND LIMMEN BIGHT COUNTRY, 1994",synthetic polymer paint on cotton duck,130.0 x 147.5 cm,signed lower right centre: GINGER RILEYbears inscription verso: Alcaston Gallery cat. AK2433,"Alcaston Gallery, Melbourne (stamped verso)Private collection, Melbourne, acquired from the above in July 1995",Not specified,"$34,364 (",https://www.deutscherandhackett.com/auction/lot/ngak-ngak-and-limmen-bight-country-1994,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/arafura-sea-darwin-1950,"ARAFURA SEA AT DARWIN, 1950",2025,Melbourne,26 March,81,ALBERT NAMATJIRA,"ARAFURA SEA AT DARWIN, 1950",watercolour on paper,34.0 x 37.0 cm,"signed lower right: ALBERT NAMATJIRAbears inscription verso: Coastline, Darwin / 60 gns / A Hord / 7","Painted in Darwin, July 1950Anthony Horderns' Fine Art Gallery, Sydney (as ‘Coastline, Darwin, N.T.)Private collectionGould Galleries, Melbourne (as ‘Coastline, Darwin, N.T.’)Private collection, Melbourne, acquired from the above in 1984",Not specified,"$233,182 (",https://www.deutscherandhackett.com/auction/lot/arafura-sea-darwin-1950,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
https://www.deutscherandhackett.com/auction/lot/garkman-1995,"GARKMAN, 1995",2025,Melbourne,26 March,81,LIN ONUS,"GARKMAN, 1995",gouache on illustration board,27.0 x 63.0 cm,signed lower right: Lin Onus,"Gallery Gabrielle Pizzi, Melbourne (label attached verso)Private collection, Melbourne, acquired from the above in September 1995",Not specified,"$67,500 (",https://www.deutscherandhackett.com/auction/lot/garkman-1995,https://www.deutscherandhackett.com/81-important-australian-indigenous-art
